id,candidate_id,subject,exam_no,status,score,total_correct,started_at,finished_at,type_of_ac,kategori,final_passed,email_sent,cheat_warnings,live_camera
04f8624c-2531-4766-8d43-7f17c986559d,f3bcbf1a-21b9-420b-9a44-3519288b4226,RENEWAL,1,COMPLETED,74,0,2026-03-30 03:44:40.49+00,2026-03-30 04:22:13.352+00,Airbus A330 NEO,Electric & Avionic,true,true,0,
083d7326-d51c-478b-a2bc-26b7cb680e2d,7415939d-d2fe-4bc6-913e-82b82de0e3cd,RENEWAL,1,COMPLETED,72,0,2026-03-16 01:48:30.285+00,2026-03-16 02:18:39.724+00,Airbus A330-Series,Electric & Avionic,true,true,0,
0b290c17-f09a-4ee0-8974-b36a284029bc,f3bcbf1a-21b9-420b-9a44-3519288b4226,RENEWAL,1,COMPLETED,70,0,2026-03-30 01:34:50.27+00,2026-03-30 02:16:14.037+00,B777-300 ER,Electric & Avionic,true,true,0,
101c1ebe-2a76-4ee2-a870-27af9c192e70,204998f7-e171-4cbb-8add-77e447a09dbc,RENEWAL,1,COMPLETED,84,0,2026-04-07 01:52:54.955+00,2026-04-07 03:24:15.551+00,B737-800 NG,Electric & Avionic,,true,0,
104749a6-a552-4073-b228-89bb00fd2b6d,fb3763dc-48c7-4297-b418-958fc0eac4a8,RENEWAL,1,COMPLETED,64,0,2026-04-07 01:48:12.969+00,2026-04-07 03:31:28.047+00,Airbus A330-Series,Airframe & Powerplant,true,true,2,
184b399f-df9f-4cd6-b4cd-f25fb155a2cd,f47d107f-51a9-4abb-97d8-49526db1716f,RENEWAL,1,COMPLETED,64,0,2026-03-16 01:46:24.015+00,2026-03-16 02:40:27.306+00,B737-800 NG,Electric & Avionic,true,true,0,
1fa3f48b-7548-4c87-9ba8-6b2c61e865d6,f3bcbf1a-21b9-420b-9a44-3519288b4226,RENEWAL,1,COMPLETED,90,0,2026-03-30 02:26:27.098+00,2026-03-30 03:39:00.537+00,Airbus A330-Series,Electric & Avionic,,true,3,
270ec6d5-b126-4c71-98e3-971d8f2a2aa9,beb26997-5cd6-4372-93d4-09868350ec99,RENEWAL,1,COMPLETED,52,0,2026-03-16 01:49:59.429+00,2026-03-16 02:30:27.861+00,Airbus A330-Series,Airframe & Powerplant,true,true,0,
32f8da5d-a3ca-42b6-bfef-c23d02cabde4,78aff5bb-fac6-40ce-86ec-b98a89ca4f65,RENEWAL,1,COMPLETED,84,0,2026-03-16 01:48:46.653+00,2026-03-16 02:25:01.793+00,Airbus A330-Series,Airframe & Powerplant,,true,0,
3d71836e-cbc5-4ce2-be2a-3d1420dc306e,7d96040a-b0f4-4f4c-abe4-f17b52c67f58,RENEWAL,1,COMPLETED,84,0,2026-03-17 01:47:39.785+00,2026-03-17 02:41:09.608+00,B737-800 NG,Electric & Avionic,,true,0,
