id,question_id,option_text,is_correct
00002e26-1256-4170-8fa1-12a37dd4b42a,99b83ec3-8755-40bf-81e3-e2f64b0a048b,Write 'VOID ' a Cross the Stamp impression and put the new Stamp just beside,true
000af49b-8ea4-4865-b158-dd0122011c58,b53a66d6-17f3-41fe-81b0-4a07faea165f,Proximity sensor located on inner handle frame assy,false
00155c79-2369-4ce1-81da-0094eef0ecc5,bf4790fd-ad9c-4a3d-8176-db57238a04e8,Torque reactive loads,false
001f10a0-bf22-4b24-9724-f73fa27cb83f,fa838035-0288-4268-a610-24f4cf4cdbda,By Mechanical speed idle adjustment,false
00242127-6c78-4227-8bb4-3f20c6b8213a,b8628ca5-ebb3-46de-9a59-0b7d1d3adc4c,Conform to maintenance standart and safe for operation,false
0024e0d1-ddee-4529-aaee-fb060e274e55,09ea4b5b-c72a-47d1-a174-88147691af33,"One lamp dimmer unit, one power supply, Three power transfer relay and one control potentiometer",false
002ffad5-2b16-41de-9880-01c2b7b2ab1a,4713cd4b-116a-4b36-98c0-9fa379b37cc3,The DMM is responsible for every APU start-up sequence.,false
00313bf5-09a6-4a2d-954b-77c5671b24da,77224550-a4fd-436b-8990-5f0d9c9d18fd,Ministry of Communication,true
003ec7db-e4f2-4dee-8665-5e6f4886fb49,a6184c95-bc7b-449b-9485-3c2edee855e0,CASR part 47,false
00405b4b-2484-4f62-8d24-0b969bae9dbe,3a8cd283-8121-45bc-b900-12981a13e6eb,The LEGS missed on Cruising level,false
004b17b9-a7bd-4f28-aae4-15472dd3f708,80f27007-2a36-4911-bb3e-0508e14c2cf9,"Inspection, Overhoul, replacement of part and servicing",false
004b80da-0c1b-4b59-94aa-20ed23badd8f,b0a32ed7-0701-4b97-927e-a7614c697ad8,Side Stay,false
0053277f-b78a-4dbf-9c09-c60e2ced8e9a,9f7f90dc-cd90-4851-b3ef-f76104ef6917,"Oil, grease, fuel not part of Hazardous material",false
0054a544-dd3b-45a7-a21f-b620e27a2c99,3252ea54-acf6-445a-9b17-d6540dac4e7f,Major repair,false
0054cc00-43f9-49f7-b135-1e46ee9ffceb,7afbff4f-2f8f-4730-91f4-97d702394675,Forward APU fire extinguisher bottle,false
005f2549-d5d9-4769-a7f4-de60d1bc712a,ebe591d2-1f11-4697-a25a-b9ceef2f1b73,"ELEC light. ",false
00647195-bc19-47d0-aa17-4c039cfeb529,e6071e76-15d3-46b3-9f1c-9bc903856123,RTB dan RTA,false
00667693-fcdf-4db7-99df-3625b8f20eae,9f1de14f-1003-49cf-a207-c90236825f8f,Aircraft Maintenance Log Book and Cabin Maintenance Log Book.,false
00677d65-1ab2-4e6f-bb8c-eed7764fdd3f,7e45b252-32ec-407e-b302-70da53e940d1,"The Engine operated in the Normal Mode, the ""N1 MODE"" message displayed on the ECAM and the N1 Mode Push Button Switch must be Press to have BothEngine N1Mode configuration.",false
006fe6de-f2ba-4385-bc02-34e032c4bb91,7c888e6f-fd5f-4251-94a3-0c5808dfdb27,When the nose wheel steering angle exceeds 13 degrees,true
00750010-5919-45de-817a-ef2ba35947ba,77e2bdf0-8adf-458d-a182-42948b499b00,Total air temperature (TAT),false
0075e5da-3b14-4f75-8b34-b0e1a9538f6c,3f539feb-1d3c-4b30-af8d-0c827357698e,Boeing Service Letter 777-SL-32-075.,true
00792e34-d8a8-46e9-a2f9-71a66df7d975,72e85e64-66c8-4a5a-8753-1826de9a6a11,None is correct.,false
007b89c8-b91c-412f-a69c-3a3d624d9c2d,e285f9c8-c5bb-4d13-8a09-2303d1cebd56,The fire extinguisher bottle is in the aft cargo compartment,false
007f5995-8fd4-4e4e-b3b6-dcc944235da9,3ced3a91-9f8a-4235-883b-91d6689bdfa1,The clasification category is Major Alteration,false
0085d8d1-ebee-4c6b-87c1-498905ed227a,d266468c-9ec1-40f8-9658-a78e5d4114ea,"The spinner cone shape is direct the heavy material (ice, hail) away from the booster.",false
008c183e-22a4-429c-83c1-ae9b61f7558f,d00bcdfe-8dfe-4be5-860d-6d1d5077da0c,Aircraft discrepancies reported on systems which are related to ETOPSnflights mustbe fully investigated and rectified by an ETOPS authorizednperson before the next ETOPS flight.,false
008fba9a-5071-4ef9-969e-18561eb720bb,0faf3b96-c110-4afe-be9f-fc4efebf0a06,Engine fan,false
009290f3-8539-4b2b-8391-46e832145f8e,a42052dc-c2eb-4337-b957-594b616a0f51,"ATA 21, ATA 22, ATA 24, ATA 26, ATA 27, ATA 28, ATA 30, ATA 32, ATA 34,nATA 36, ATA 49, ATA 70-80.",false
009328d3-8c93-4a41-949d-b021d2aa652c,16886cb9-bb4c-4607-8bc0-2cb5b2972e46,MFD'S,false
00a21988-5b23-4c0a-9be6-f363d898bb49,ec026b4e-2c50-4148-9603-9ec92cd12ac7,With the MCDU or MCP,true
00a7b2f4-a901-4437-bae2-975225939051,fa9b475f-75fc-4613-8967-10cb84cd6aff,Overfield,false
00b97fb1-45fe-4765-88e1-6054b3163e7b,0bf40268-8f52-4bb1-b518-aed70f3d741d,The brake pedal.,false
00bcec7d-772d-469b-8aa6-75ca28f73bff,4dcec114-f36b-4624-bbc7-fe81f52f3848,Procedure for specific maintenance requirement like that removal/installation and adjustment/test,false
00bea259-2437-428e-a6eb-0cab184d7b56,28014c7d-8a48-40fe-b177-09e298c5a07b,MMR Center,true
00d0d74c-30fb-4215-b2fe-901c5d24f54a,797b811a-b231-4eb2-9180-bf5910db8926,115V DC 400hz,false
00d47c0d-aacd-424e-9180-3bbbcccb4426,c2cfb4f4-a5a8-403c-8602-ea845affebb5,The GND HYD service panel,false
00e21c69-2e4d-4ddc-b7a9-b0361488fb8e,951c3f70-4f4c-434c-8e2e-9cb751d7994b,DC STBY BUS and AC STBY BUS through INV 1 are supplies from DC BUS 2,false
00f99e13-5416-4ae8-9448-577c7f3f3bca,a3f33bfa-dbb2-4db6-868c-a9cffffe227b,The Engine Cowl Anti Ice was Faulty.,false
00f9fa0a-1a2c-4b3f-a68e-3d1f9d830e61,e68cb827-8f7a-4007-8eb0-4278cf4c5d00,From the exterior by Power Assist at mid cargo for CRJ 1000,false
00fc902b-34c9-441c-b7bf-e2f24377d70f,71926fc7-4f84-42b7-bd16-016853ae8cd1,"ETOPS authorized person who carries out the work must contact the MCCnand describe the work carried out in detail to an ETOPS authorized person,When the MCC is satisfied , the aircraft may be released for annETOPS flight. ,",false
010301f8-7e16-485c-9013-5ae62ccb4b74,0de57bc4-4fde-4e45-b7ec-9fd58b3f992b,PMG Backup Generator,true
010d30d8-6266-46c9-8e6e-e581c68334a6,261102a5-dfb2-4122-bc62-d046ecfa26d1,The PT signal failure that makes EEC operate at the frozen DSATD,true
012a4763-b81a-4917-8e8a-4fd45ca28f35,0c83bd0c-dce7-480b-bf94-abeb139d5ac0,By 2 bolts at fwd mount and 4 bolts at rear mount,false
012aec3a-aa68-4aea-b5d3-b07e67ff05fc,daf4eee1-76fe-4fa5-8209-c2f62323689e,The aircraft must hold a special flight permit for that purpose.,false
013120df-9781-4804-87e6-a0bf76f37e9a,6074e369-c601-4e79-8b11-41e59518b1f0,"Left Wing and Right Wing - Spoiler No 1, 2, 3, 4, 5, 8, 9, 10,11 and 12.",false
01315614-90eb-42fc-a94e-1f15839bf432,d442fe91-f9b9-4008-9be7-71cfa306e11d,Upper and lower wing skin panels,false
0131ae47-f25a-4ec0-bee6-ce8af3a3d7c8,a19d63cc-d06b-496d-8404-477f83da08cc,DC Batt bus,false
013d1b60-fb16-47d3-8c88-ac49526cea1d,0fdd7586-ca3c-49e5-91c2-0d0a765f11b9,Indicates an over temperatur or over pressure condition in downstream of the engine cowl anti ice valve,false
013faa67-760c-40c8-bbab-9c9bfa4aa92a,8c541676-7bea-4a11-a688-a3128b37d556,Abillity to control initial effect of an engine failure with control wheel only,true
0149fe17-91ed-46c5-b70f-3037b45e679d,aa42b4f0-44f0-45e7-908d-2ac2bc0e5f78,The Fire Detection Unit provides Fire warning signal in the ECAM and Central Maintenance Computer.,false
014c70b4-e626-4589-8be7-3dfd19e0bf6d,f5911ff7-eb07-46d2-b68c-cf946857dd6d,The Affectivity of Each Aircraft B737 can be found from Front Mater Page of IPC,false
0159b969-6fba-4a37-ac1e-2e24b71162f1,c682f699-2d21-4a05-a787-8503ee13c3fd,To trime the pack output temperature,false
015a4b28-1869-47ea-8ce5-84cbce7f888b,b2e53d17-d57d-4000-9acc-5146688aa4fe,"On the ETOPS status column, mark with circle of the status TIME for ETOPS capability, which has been approved by the Operator, for that type aircraft.",false
0161a327-edff-4446-baed-3ab3bec286ba,63c7b584-348a-4bbb-8e40-6ebbe8a805c1,Hot battery bus,true
01671221-5c5b-4df0-81c6-4f00a9277f76,81f06cef-fb35-4d51-9df4-5f9606c1ebe0,"Answer A & B, and to understans, read, and write tevhnical English as used in manufacture manuals. And has satisfactorily completed a course of  integrated training",true
01680f67-82ad-462e-9b78-661488a3218f,f7b4d216-22a1-46c4-b40d-97ec7b4355cf,Primary Flight Computer,false
016b8937-e7e8-4926-882b-f15e13aac63d,4a55f763-b549-48bb-8792-e4d6c5924be1,All are correct,true
016f98fb-eb3f-4b41-8c8d-dede6cad3f6b,138f586a-068b-4823-b2d5-452147ce21a1,Sufficient speed (N2 speed is above 6%).,true
01715316-d51d-4aee-a666-2b366420a962,6d69b3d9-d553-4ad7-8f69-7df0ae31f328,CASR Part 66. FAR 66 & EASA Part 66,false
0171f465-f956-445a-b408-6582a7f04755,cfb80aa5-97d6-4adb-820b-9b74e076d572,By a current sensor,false
0172f04c-6781-4657-bc67-6ebd5c871c8f,27fc79ee-1e69-4579-bdbb-e19ec206cdd3,Do a calculation to find the quantity of fan balance weight bolts,false
0182d16d-8fcf-4bf0-be24-3747c4466040,45e8dcbd-22b3-4dd8-9cd6-857c1138c75f,When DOWN selected,false
01910042-911e-4cc8-98e4-c352eea8507f,7c761715-4e8b-4e42-be9d-93879bf38dad,By 3 bolts at fwd mount and 3 bolts at rear mount,false
019223c1-619a-41f4-9da2-65827cb25f4f,76b7d724-27b8-4960-805e-d320abcc9946,The parking brake lever is in the up position,false
01a0752e-6aa8-4ee5-8755-3ad1c27bc645,23ca4130-20d7-4962-9187-d3b99a5518a3,Use the MAT to do the Ground test,true
01a59c38-f209-45f1-b459-13062e9ebbbb,b0098d9d-b990-4884-84c1-e8371e5af315,DC STBY BUS and AC STBY BUS through INV 1 are supplies from DC HOT EMER BUS,true
01b0536c-11ea-4711-bc7a-5193203f3e4e,2a562c05-2c3c-438f-9428-263bc28e7f15,"Lock wheel protection, Touchdown protection, Hydroplane protection,nGear retract inhibit and Skid control.",false
01b1464a-7354-480e-967e-ecb204c190d8,ef7f1a0d-82f1-40e5-b6ab-9327839582a6,Engine shutdown,false
01b6cf7d-600f-4247-b8a5-c3dea0b97623,3291b548-9e90-4103-9b97-aff44ee6812c,The average of the inboard wheel,false
01c27486-46da-4ab2-b5fb-901ec71eafab,61183131-0bba-4c7e-ab70-46a7f7fa9c06,Download flight data recorder,false
01c3ed86-a8d9-4393-bda2-e1e678dd1417,9a36e2dc-3bc0-4b5b-a2a1-598cbc434038,"Takeoff, rejected takeoff and landing",true
01c4fd0d-11c9-4bc6-8f24-c780b0318210,d27dc99e-eb67-46b7-8cfc-7cf9e503bc3d,Aft Compartment,false
01c76179-f997-4d22-aae4-2b15caac9b5e,e5535bd8-ad8f-4be5-b536-b54416fe4eb3,Nor recommanbded engine started during the aircraft push back or towing,false
01cbd631-2386-47d9-ad2a-df730e2f91d9,fb60eecd-8c77-412b-aad4-03ca3a54e8c6,6th stage,false
01cda522-59e0-4140-b72b-b90391d427e3,baf29bd3-99a6-4351-ae8d-5503b2e3c6d3,Part install on ETOPS Aircraft with LRU not conformed to AircraftnMaintenance Planning Data.,false
01d167aa-3d2e-46b5-af09-effc0a5c9067,c7242074-033b-46fd-999e-4f1d00e59fc0,"Autothrottle Left ARM Switch controls the Right Engine, Autothrottle RightnSwitch controls the Left Engine.",true
01dbd6a7-c884-481c-963f-8d5c0e41d00d,471181cb-1a29-44d9-8c95-a2b1644f370e,If the Aircraft failure or malfunction positively identiied as Autopilotnsystem performance errors.,false
01e0acda-e4c7-48ad-8ea2-d78ff2cb0815,a9e1339e-2378-480f-ad34-a68e1aacd24a,The ELT operational check conducted during the first five minutes of anynUTC hours and restricted in duration to not more than one second.,true
01edff8f-0153-4043-9126-0ee1d7a6d6af,8ecfea9e-e46d-49cf-adde-944fe148ebaf,"Primary FADEC power supply, N2 indication, overspeed protection",true
01ef15e6-0382-473e-a5c1-821fffaa4d92,52a0cb5a-e3de-42c4-b5d8-c32bd6473f22,"There are three different displays: Primary, Secondary, and Alternate",false
01efe83d-f094-49a4-91f2-52549455d2b9,d9ca4aa6-0b6b-42b6-9655-f1d72426d7d6,"NORMAL Service Buletins are published on white paper and ALERT ServicenBuletins are published on pink paper, and are used to introduce mattersnwhich require urgent attention and affect safety.",false
01fcbd6e-3e82-43d4-b326-3f9f0af2baab,9c85b719-561e-4f49-a125-8ba4d289fe97,It provides turn coordination during normal/ alternate operation,false
021347f0-0395-4f1c-ad4d-0d68947e599d,661cdd08-b5a2-46bc-9df0-0d32627f8648,A caution message is displayed for the stabilizer trim,false
02146729-1c66-4399-8927-c073b3c84e8a,39937c0a-6953-4667-a7ba-47d4bfc7250a,By entering the associated VOR frequency on MCP or MCDU and reading the frequency on VCP at VOR/ILS page,true
021e50ea-07a1-4d10-a631-7b5c08cb4305,6db67a91-f6ec-4ec2-9c8a-ef7f7f133def,Chapter 70 - 80,true
022dc31c-2b70-4f7e-96db-1c19f94c7f5a,3e9f34f4-e9f8-49d1-9d06-6fb65d7dafa1,is electrically heated,true
022f7492-f1f5-4d89-b070-6878150c1c6b,80fe3eef-9ef4-4560-bdb5-20fa165e9dcc,PPC controls CCB and TBB,false
023355c3-bbd0-449b-9ec0-399463ddcb5a,5489570d-79b2-44c3-a66f-cdf3ae2b2f3d,Right AIMS cabinet,true
02378277-89c6-471e-85d0-83aac52ffaff,f2bbf2a5-4c6b-4869-b63d-a970fb6dce0d,SDAC sendn't data to ECAM,false
02393412-88e3-432d-999c-b95b162a1a36,981ca4b5-f7a1-4648-814b-99a5a8f9a783,"A 'SERVICE"" light in the B737 max.",false
023caa08-82a3-4629-befa-da537eb1ea96,6366203d-6a01-4b14-8f88-31faf6193fbd,Only the standby pump.,false
023cfc88-d54d-4142-92e0-5e6bc4f73556,3683d928-d874-4c95-ab2c-9b37d95287ad,ETOPS Authorized personnel.,true
023f1ebf-2d92-48be-842f-c26f7763a3e0,28695ce2-0ae8-41e7-948d-e8bf932cb09a,MAS is activated during cruise only.,true
024110cb-5aa5-4110-ad6b-4ea12394feb7,46bd744e-2e14-4932-87ef-0f0bd469f342,Left memo area,true
0243b160-f3bc-4a98-b511-727f9d09e5e1,d7063499-58fb-4679-b6a9-1c692ee771b0,"Propeller, parts, components, and appliances. ",false
02445452-6eed-4b37-a49d-2b2c69a37fd1,26eedc76-7b34-4f0c-aaf2-f0fc3f3a9fab,Air Operator Certificate Holder,false
0246acda-98b5-4cc8-b111-060348b46858,57bcbb3c-3e0e-4ba1-8f39-73ba13195838,CASR Part 47,false
0246bd8c-b74b-4f64-a0cb-6084d65973ff,0a5c568d-6acf-463a-9cdd-4ac3c1ad492d,1100 psi.,false
025427d6-3a65-472b-a39a-41c714352aca,de1c18d8-d5f3-43a8-aab8-99ff34c6018f,Hot battery bus,true
0260036d-94cf-4b2b-b360-d695ecf73bb6,b63acab6-a482-49f7-9b1b-962ae7157dbd,MMR Right,false
026f37b5-fa1c-46c9-ba84-292fe516b2bb,e286ea6b-2925-44e4-9ea8-c8941ca0793c,A landing gear is not down and locked,false
026f4290-0f8b-4e60-b481-9e574df504c5,7b30fee5-2b68-45ef-b5ed-8b74a35daf13,The records shall be retained until the work is repeated or superseded by other work or for two year after the work is performed.,true
02743c3a-707f-490d-a9c9-3ad7ecedcdf3,18ace672-8c01-4851-995b-8ea9fef8a279,Using a test set connected to the front face of the FDIU.,false
02778de6-8efe-4e35-b48d-808afddc47aa,200b716e-17b4-4291-a0c0-a94b56480566,Nothing,false
027b2bd4-e34a-4044-8273-cc2149f91e60,be16d6fc-7d19-4722-a642-c9be25f09853,Engine coniguration.,false
027f58eb-340a-4ccf-8cc1-422750e5f1b4,8f4ee9ea-9268-4c44-8dae-b38bf4451f24,Mandatory Report.,false
028437a4-fc96-4d2f-b330-abb63b73544b,d9986676-5ccf-49a8-a8f8-1b0013ed55de,"Variable Inlet Guide Vanes, Variable Stator Vanes, 4 IP bleed valves, 3 HP bleed valves",false
0286b1d5-e4c5-4191-ae9c-1c39615d658e,47fa4c94-0957-401d-a6ab-4e07a1a3ba2e,Yaw damper must be selected off,false
0287328d-4dc3-414b-86ae-ed7347bfad9f,cc20f18e-4164-424d-a55b-0932699217bd,"On the PFD, by M-shape bug along the altitude tape",false
